ymd,Í∞ïÎÇ®Íµ?Í∞ïÎèôÍµ?Í∞ïÎ∂ÅÍµ?Í∞ïÏÑúÍµ?Í¥Ä?ÖÍµ¨,Í¥ëÏßÑÍµ?Íµ¨Î°úÍµ?Í∏àÏ≤úÍµ??∏ÏõêÍµ??ÑÎ¥âÍµ??ôÎ?Î¨∏Íµ¨,?ôÏûëÍµ?ÎßàÌè¨Íµ??úÎ?Î¨∏Íµ¨,?úÏ¥àÍµ??±ÎèôÍµ??±Î∂ÅÍµ??°ÌååÍµ??ëÏ≤úÍµ??ÅÎì±?¨Íµ¨,?©ÏÇ∞Íµ??Ä?âÍµ¨,Ï¢ÖÎ°úÍµ?Ï§ëÍµ¨,Ï§ëÎûëÍµ?,,,,,,,,,,,,,,,,,,
201602,4127.30236,2232.631291,1481.859515,1804.657509,1793.346064,2231.974023,1602.107654,1518.583447,1557.024729,1338.643538,1747.860922,2278.594411,2128.848847,1876.372066,3274.174529,2248.473413,1614.987036,2751.509576,1933.424341,1942.373649,2971.784857,1512.219156,2024.776736,2110.626737,1537.804743
201603,4313.299197,2289.061963,1499.339529,1783.038074,1723.387963,2179.466676,1567.999297,1480.325379,1510.577738,1369.367848,1733.372262,2146.622939,2188.189322,1851.859503,3548.803715,2340.084841,1650.230916,3054.609092,1885.561276,1962.359333,2828.087412,1616.019335,2213.015765,2152.210083,1528.706122
201604,4146.12808,2439.434884,1496.76741,1858.685097,1825.978012,2354.114182,1609.098374,1461.363167,1533.179289,1381.215329,1805.549015,2160.701551,2287.025422,1774.192627,3595.967226,2224.047346,1707.532228,3202.846545,2166.692405,2030.039932,2757.320968,1650.080957,1899.312606,2163.390098,1539.213923
201605,4192.744318,2330.726227,1550.973939,1864.011591,1742.690009,2407.9874,1708.785459,1467.024506,1521.260754,1388.705038,1806.75204,2214.557022,2297.386532,1738.86467,3701.474573,2327.721231,1703.404429,3281.502565,2256.976626,2041.627826,3286.889197,1735.248049,2163.950637,2185.943574,1530.61602
201606,4272.163138,2310.093389,1614.827052,1970.354942,1796.616927,2334.941491,1711.445256,1524.208809,1547.128838,1380.828585,1813.089769,2287.17844,2378.293567,1827.514192,3809.893686,2357.603115,1705.58412,3151.432865,2355.889652,2086.125474,2991.33067,1656.980297,2035.454747,2259.661128,1542.829078
201607,4224.229566,2300.675086,1642.176685,1965.806562,1990.509839,2395.252062,1668.496878,1484.531799,1577.825724,1421.13861,1808.299369,2288.039531,2462.750701,1833.759628,3693.846638,2341.782061,1746.19083,3090.45008,2158.395307,2029.600479,3056.523586,1696.079305,2034.877312,2249.389924,1565.542261
201608,4444.184391,2306.294263,1617.347928,1964.420676,1808.010084,2331.514215,1672.09273,1486.594149,1564.777254,1425.507724,1897.774313,2319.958857,2534.341393,1834.996706,3833.66082,2421.613483,1693.285209,3117.363957,2322.746024,2117.651965,3022.01905,1668.92415,2128.938145,2275.57518,1548.655035
201609,4399.659489,2223.983764,1659.90833,2041.684108,1822.241948,2407.606417,1716.90884,1484.588837,1612.643986,1445.260191,1883.304068,2276.997744,2539.922836,1928.193918,3812.725794,2463.271786,1737.192091,3194.989818,2241.796435,2144.152488,2832.220459,1670.263842,2158.243032,2346.998328,1567.213812
201610,4257.246126,2283.7596,1644.914148,2036.231974,1808.939987,2430.646786,1752.481664,1536.690593,1665.808073,1463.502887,1873.478474,2337.527933,2584.525658,1987.597694,3858.395438,2541.708507,1786.798774,3130.106604,2254.096719,2166.638405,3044.948137,1675.944399,2186.547015,2347.574483,1555.318867
201611,3972.871079,2213.611299,1684.426209,1966.115508,1871.901234,2441.839019,1725.811405,1495.133439,1645.264284,1476.625577,1945.953991,2349.61402,2613.823796,1943.202633,3548.912489,2444.819276,1766.356702,2875.139714,2024.436032,2172.139566,2921.819941,1773.801417,2245.505518,2409.942006,1557.418272
201612,4518.208102,2309.220407,1614.401103,1980.701187,1850.175964,2459.90565,1725.266729,1477.158681,1631.795758,1461.828558,1923.132979,2294.169932,2583.817696,1903.279514,3476.719064,2366.5479,1779.540383,3133.366584,1986.241206,2101.598421,3229.77783,1609.196928,2344.37923,2417.597747,1595.345904
201701,4643.034672,2420.503918,1588.59055,1988.439509,2163.934047,2301.306032,1755.834812,1563.465104,1627.77284,1436.28167,1905.033431,2320.77214,2567.518097,1984.680432,3838.248751,2600.947315,1693.547936,3035.793342,1992.728016,2090.803783,2992.488003,1842.552167,2321.883128,2363.162849,1593.698646
201702,4846.354899,2338.6995,1650.349001,2000.843881,1895.383947,2320.186363,1766.843656,1555.97369,1629.531009,1457.78925,1949.136677,2333.426666,2563.060341,1958.703147,3820.981784,2483.376599,1744.499788,3150.905314,2092.559515,2192.210315,3065.931138,1697.732353,2269.009896,2526.694987,1585.296679
201703,4622.288687,2323.552844,1590.714584,2024.788709,1762.256308,2410.12263,1774.449975,1549.404961,1615.39466,1453.722645,1911.04911,2391.977476,2562.711626,1940.011347,3886.443278,2539.092812,1803.148472,3141.920039,2202.54511,2310.664615,2995.038367,1732.893314,2312.363565,2513.117421,1626.213958
201704,4773.203773,2504.901886,1671.785988,2038.679346,1769.434464,2497.713977,1747.611981,1599.54458,1637.556073,1495.172653,1935.857539,2415.056549,2667.339554,2082.238905,3963.586443,2628.94831,1804.587431,3268.6639,2463.216378,2273.075393,3044.391048,1756.452738,2151.225062,2429.062661,1617.918624
